time;gFx;gFy;gFz;TgF
1.377189062;0,1745;0,1690;0,8777;0,911
1.381227083;0,1979;0,1575;0,8889;0,924
1.385693749;0,2118;0,1363;0,9259;0,960
1.389139062;0,2188;0,1213;0,9692;1,001
1.395021874;0,2164;0,1072;1,0024;1,031
1.397597395;0,2023;0,0968;1,0041;1,029
1.401041666;0,1862;0,0902;0,9730;0,995
1.407505729;0,1672;0,0865;0,9333;0,952
1.412044791;0,1485;0,0900;0,8993;0,916
1.415528124;0,1404;0,0999;0,8847;0,901
1.417898437;0,1406;0,1156;0,8776;0,896
1.421021874;0,1522;0,1408;0,8736;0,898
1.425241666;0,1741;0,1629;0,8596;0,892
1.431316145;0,2008;0,1831;0,8361;0,879
1.433182812;0,2256;0,2051;0,7983;0,855
1.437210937;0,2421;0,2217;0,7705;0,838
1.440697916;0,2524;0,2419;0,7392;0,818
1.445190624;0,2544;0,2575;0,7159;0,802
1.448614583;0,2487;0,2721;0,6890;0,781
1.453855729;0,2413;0,2856;0,6626;0,761
1.456695833;0,2287;0,2964;0,6365;0,738
1.460629166;0,2172;0,3047;0,6170;0,722
1.464516666;0,2048;0,3149;0,6013;0,709
1.468283854;0,1928;0,3233;0,5893;0,699
1.473239583;0,1872;0,3288;0,5882;0,699
1.477253645;0,1797;0,3326;0,5915;0,702
1.480431249;0,1710;0,3327;0,5982;0,706
1.486424999;0,1649;0,3313;0,6073;0,711
1.488396874;0,1570;0,3275;0,6219;0,720
1.49370677;0,1515;0,3264;0,6295;0,725
1.496483333;0,1424;0,3223;0,6374;0,728
1.500080729;0,1312;0,3209;0,6484;0,735
1.504295833;0,1220;0,3194;0,6572;0,741
1.510183854;0,1180;0,3206;0,6672;0,750
1.512116145;0,1198;0,3241;0,6777;0,761
1.516620833;0,1279;0,3279;0,6922;0,777
1.520159895;0,1388;0,3317;0,7077;0,794
1.527899999;0,1506;0,3369;0,7254;0,814
1.53004427;0,1619;0,3414;0,7406;0,831
1.531970312;0,1681;0,3442;0,7525;0,844
1.536009895;0,1720;0,3453;0,7625;0,854
1.540069791;0,1742;0,3428;0,7705;0,861
1.547190104;0,1764;0,3419;0,7756;0,866
1.548830729;0,1788;0,3409;0,7864;0,876
1.553124999;0,1789;0,3399;0,7939;0,882
1.556034895;0,1748;0,3346;0,8017;0,886
1.565370833;0,1627;0,3241;0,8089;0,886
1.567277604;0,1495;0,3129;0,8090;0,880
1.567847395;0,1349;0,3010;0,8094;0,874
1.57188802;0,1285;0,2906;0,8069;0,867
1.577168229;0,1335;0,2747;0,7936;0,850
1.579527083;0,1126;0,2735;0,8060;0,858
1.584601562;0,0817;0,2768;0,8129;0,863
1.587785416;0,0608;0,2817;0,8153;0,865
1.591598958;0,0440;0,2905;0,8147;0,866
1.595677604;0,0324;0,3002;0,8082;0,863
1.599627604;0,0308;0,3079;0,8046;0,862
1.603677083;0,0302;0,3182;0,8008;0,862
1.607701041;0,0261;0,3235;0,7924;0,856
1.614523958;-0,0064;0,2960;0,7664;0,822
1.617123958;0,0165;0,3060;0,7645;0,824
1.619760416;0,0425;0,3298;0,8034;0,869
1.623526562;0,0779;0,3424;0,8431;0,913
1.627726041;0,1166;0,3498;0,8846;0,958
1.631383333;0,1644;0,3553;0,9284;1,008
1.635264583;0,2007;0,3608;0,9875;1,070
1.644121354;0,2308;0,3656;1,0439;1,130
1.64536302;0,2686;0,3668;1,0978;1,188
1.647739062;0,2827;0,3835;1,1565;1,251
1.651247395;0,3048;0,4007;1,2052;1,306
1.655210937;0,3417;0,4108;1,2435;1,353
1.660361979;0,3694;0,4122;1,2649;1,381
1.663185937;0,3747;0,3890;1,2692;1,379
1.668546354;0,3551;0,3531;1,2691;1,364
1.671132291;0,3225;0,3100;1,2792;1,355
1.675140104;0,2872;0,2654;1,2931;1,351
1.67931302;0,2577;0,2140;1,3095;1,352
1.683028645;0,2422;0,1717;1,3203;1,353
1.687339583;0,2307;0,1372;1,3344;1,361
1.691414062;0,2190;0,1048;1,3542;1,376
1.70276302;0,2130;0,0832;1,3745;1,393
1.704430208;0,2023;0,0667;1,3947;1,411
1.704888541;0,1930;0,0443;1,4171;1,431
1.708543749;0,1892;0,0268;1,4389;1,451
1.716801041;0,1959;0,0047;1,4661;1,479
1.718743229;0,2049;-0,0148;1,4909;1,505
1.719718229;0,2172;-0,0315;1,5154;1,531
1.724911979;0,2381;-0,0489;1,5421;1,561
1.72760677;0,2577;-0,0585;1,5620;1,584
1.73053802;0,2793;-0,0662;1,5818;1,608
1.734692187;0,3016;-0,0713;1,5962;1,626
1.740291666;0,3158;-0,0737;1,6025;1,635
1.744528124;0,3268;-0,0785;1,6005;1,635
1.74683802;0,3347;-0,0853;1,5880;1,625
1.750258854;0,3426;-0,0909;1,5667;1,606
1.757727604;0,3497;-0,0954;1,5367;1,579
1.760535937;0,3535;-0,0970;1,4969;1,541
1.762446874;0,3569;-0,0972;1,4565;1,503
1.766351041;0,3586;-0,0975;1,4151;1,463
1.771689062;0,3588;-0,0949;1,3658;1,415
1.774873437;0,3573;-0,0928;1,3251;1,376
1.779589583;0,3539;-0,0889;1,2851;1,336
1.782188541;0,3469;-0,0831;1,2444;1,295
1.78604427;0,3387;-0,0759;1,2091;1,258
1.789961979;0,3273;-0,0712;1,1679;1,215
1.795292187;0,3196;-0,0664;1,1308;1,177
1.797978645;0,3136;-0,0611;1,0916;1,137
1.804012499;0,3123;-0,0562;1,0511;1,098
1.806211979;0,3155;-0,0426;1,0082;1,057
1.811418749;0,3221;-0,0304;0,9816;1,034
1.814233854;0,3280;-0,0190;0,9545;1,009
1.818140104;0,3295;-0,0069;0,9275;0,984
1.822264062;0,3273;0,0011;0,9021;0,960
1.828420833;0,3243;0,0053;0,8731;0,931
1.830991145;0,3176;0,0129;0,8397;0,898
1.833926562;0,3092;0,0150;0,8099;0,867
1.839299479;0,2966;0,0179;0,7812;0,836
1.84653177;0,2796;0,0222;0,7548;0,805
1.847574479;0,2648;0,0257;0,7356;0,782
1.850152083;0,2521;0,0280;0,7248;0,768
1.853963541;0,2412;0,0343;0,7204;0,760
1.858307812;0,2345;0,0373;0,7229;0,761
1.865301041;0,2322;0,0431;0,7294;0,767
1.869933854;0,2330;0,0478;0,7370;0,774
1.870537499;0,2375;0,0541;0,7432;0,782
1.873464062;0,2407;0,0617;0,7499;0,790
1.877734374;0,2430;0,0725;0,7538;0,795
1.884979687;0,2427;0,0781;0,7570;0,799
1.885778124;0,2406;0,0800;0,7622;0,803
1.889316145;0,2338;0,0811;0,7653;0,804
1.893380729;0,2255;0,0814;0,7692;0,806
1.89728802;0,2168;0,0796;0,7768;0,810
1.901081249;0,2029;0,0751;0,7896;0,819
1.905221354;0,1930;0,0716;0,8001;0,826
1.91079427;0,1818;0,0706;0,8093;0,832
1.913064583;0,1697;0,0691;0,8174;0,838
1.917043229;0,1593;0,0712;0,8194;0,838
1.921836979;0,1805;0,0638;0,7938;0,817
1.928645833;0,1736;0,0730;0,7967;0,819
1.92998177;0,1553;0,0933;0,8053;0,825
